start_date,event_type,venue,latitude,longitude
2022-01-05T17:30-0800,film,West Wind Drive-In (San Jose),37.2802028,-121.8403819
2022-01-05T18:30-0800,music,Hopmonk Tavern - Novato ,38.088499,-122.5534335
2022-01-05T19:30-0800,music,Hopmonk Tavern - Sonoma,38.28864859999999,-122.4587966
2022-01-05T20:00-0800,ports,Event Center at SJSU,37.3350794,-121.8807548
2022-01-05T20:00-0800,film,West Wind Drive-In (San Jose),37.2802028,-121.8403819
2022-01-05T20:30-0800,film,West Wind Drive-In (Concord),37.9997262,-122.0497853
2022-01-05T22:45-0800,film,West Wind Drive-In (San Jose),37.2802028,-121.8403819
2022-01-05T23:45-0800,film,West Wind Drive-In (San Jose),37.2802028,-121.8403819
2022-01-05T12:30-0800,iety,Salesforce Park,,
2022-01-05T16:30-0800,lgbtq,The San Mateo County Pride Center,,
2022-01-05T19:00-0800,music,Golden 1 Center,38.5802066,-121.4993496
2022-01-05T19:00-0800,music,Golden 1 Center,38.5802066,-121.4993496
2022-01-05T19:45-0800,utdoor-recreation,The Center SF,37.774623,-122.4308296
2022-01-05T21:00-0800,music,The Valencia Room,,
2021-03-18T10:00-0700,he-arts,SVN West,37.7742162,-122.4195611
2021-11-18T10:00-0800,he-arts,Exploratorium,37.8016649,-122.397348
2021-12-01T16:00-0800,xperiences,Golden Gate Park,37.7690391540527,-122.483520507812
2022-01-06T18:00-0800,xperiences,Exploratorium,37.8016649,-122.397348
2022-01-06T20:00-0800,medy,Punch Line San Francisco,37.795486,-122.4001359
2022-01-06T20:00-0800,medy,Cobb's Comedy Club,37.802989,-122.4143902
2021-09-29T09:00-0700,utdoor-recreation,Japanese Tea Garden,37.7701915,-122.4701725
2022-01-06T19:00-0800,utdoor-recreation,California Academy of Sciences,37.7698646,-122.4660947
2022-01-06T20:30-0800,music,Brick & Mortar Music Hall,37.7697394,-122.4203797
2022-01-06T19:30-0800,music,Yoshi's Oakland,37.796237,-122.2785532
2022-01-06T20:00-0800,medy,San Jose Improv,37.3356047,-121.8883856
2022-01-06T21:00-0800,music,Milk Bar,37.7695082,-122.4525845
2022-01-06T18:00-0800,music,The Knockout,37.7451489,-122.4199626
2022-01-06T22:00-0800,music,Temple,37.7879716,-122.3972152
